N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
233,롯데웰푸드,"116,300","상승1,500",+1.31%,500,"10,972","9,435",12.87,"6,998",12.97,4.04
234,종근당,"78,700",보합0,0.00%,"2,500","10,863","13,803",15.06,"7,275",9.96,12.76
235,두산퓨얼셀,"16,370",상승360,+2.25%,100,"10,721","65,494",10.49,"147,055",-127.89,N/A
236,RISE CD금리액티브(합성),"103,790",보합0,0.00%,0,"10,712","10,321",0.00,"1,005",N/A,N/A
237,롯데리츠,"3,625",상승25,+0.69%,500,"10,475","288,969",7.73,"113,840",88.41,0.95
238,가온전선,"63,200",하락700,-1.10%,"5,000","10,455","16,543",0.87,"44,970",19.48,6.46
239,LX인터내셔널,"26,950",상승100,+0.37%,"5,000","10,446","38,760",22.09,"44,118",5.95,7.12
240,다우기술,"23,200",상승550,+2.43%,500,"10,409","44,867",23.63,"134,144",2.93,13.16
241,한국카본,"19,890","하락1,160",-5.51%,500,"10,325","51,908",8.66,"354,197",50.87,4.38
242,TIGER 차이나항셍테크,"8,215",상승185,+2.30%,0,"10,261","124,900",0.00,"2,548,133",N/A,N/A
243,효성티앤씨,"237,000",보합0,0.00%,"5,000","10,257","4,328",17.85,"2,567",7.62,9.84
244,TIGER CD1년금리액티브(합성),"1,043,730",상승85,+0.01%,0,"10,250",982,0.00,"6,804",N/A,N/A
245,LS에코에너지,"33,400",상승250,+0.75%,500,"10,229","30,625",3.95,"123,508",32.75,19.00
246,STX엔진,"24,950","하락1,350",-5.13%,"2,500","10,017","40,148",3.56,"350,167",25.36,10.15
247,한샘,"42,550",상승950,+2.28%,"1,000","10,014","23,534",13.85,"5,720",6.63,43.59
248,ESR켄달스퀘어리츠,"4,680",하락165,-3.41%,"1,000","9,973","213,089",42.50,"216,101",275.29,0.33
249,KODEX 25-12 은행채(AAA)액티브,"102,545",상승5,0.00%,0,"9,905","9,659",0.00,111,N/A,N/A
250,하나 CD금리투자 ETN,"103,910",상승5,0.00%,0,"9,871","9,500",0.00,"34,861",N/A,N/A
